frame,x,y,visible
1,-1,-1,0
2,-1,-1,0
3,-1,-1,0
4,-1,-1,0
5,-1,-1,0
6,-1,-1,0
7,-1,-1,0
8,-1,-1,0
9,-1,-1,0
10,-1,-1,0
11,755,1005,1
12,755,1005,1
13,755,1005,1
14,755,1005,1
15,764,965,1
16,767,952,1
17,768,949,1
18,771,942,1
19,772,940,1
20,772,940,1
21,772,940,1
22,772,940,1
23,772,940,1
24,772,940,1
25,772,940,1
26,772,940,1
27,772,940,1
28,772,940,1
29,772,940,1
30,772,940,1
31,772,940,1
32,772,940,1
33,772,940,1
34,772,940,1
35,-1,-1,0
36,-1,-1,0
37,-1,-1,0
38,-1,-1,0
39,-1,-1,0
40,-1,-1,0
41,-1,-1,0
42,-1,-1,0
43,-1,-1,0
44,-1,-1,0
45,-1,-1,0
46,-1,-1,0
47,-1,-1,0
48,-1,-1,0
49,-1,-1,0
50,-1,-1,0
51,-1,-1,0
52,-1,-1,0
53,-1,-1,0
54,-1,-1,0
55,-1,-1,0
56,-1,-1,0
57,-1,-1,0
58,-1,-1,0
59,-1,-1,0
60,-1,-1,0
61,-1,-1,0
62,-1,-1,0
63,-1,-1,0
64,-1,-1,0
65,1030,930,1
66,1030,930,1
67,1030,930,1
68,1030,930,1
69,1030,930,1
70,1030,930,1
71,1030,930,1
72,1030,930,1
73,1030,930,1
74,1030,930,1
75,1030,930,1
76,1030,930,1
77,1030,930,1
78,1030,930,1
79,1030,930,1
80,1030,930,1
81,1236,400,1
82,1238,394,1
83,1239,391,1
84,1239,391,1
85,1239,391,1
86,1242,384,1
87,1244,381,1
88,1244,381,1
89,1244,381,1
90,1244,381,1
91,1244,381,1
92,1244,381,1
93,1244,381,1
94,1244,381,1
95,1244,381,1
96,1244,381,1
97,1244,381,1
98,1244,381,1
99,1244,381,1
100,1244,381,1
101,1244,381,1
102,1244,381,1
103,-1,-1,0
104,-1,-1,0
105,-1,-1,0
106,-1,-1,0
107,-1,-1,0
108,-1,-1,0
109,-1,-1,0
110,-1,-1,0
111,-1,-1,0
112,-1,-1,0
113,-1,-1,0
114,1042,869,1
115,1042,869,1
116,1038,894,1
117,1038,894,1
118,1038,894,1
119,1025,908,1
120,1021,911,1
121,1021,911,1
122,1021,911,1
123,1021,911,1
124,1021,911,1
125,1021,911,1
126,1021,911,1
127,1021,911,1
128,1021,911,1
129,1021,911,1
130,1021,911,1
131,1021,911,1
132,1021,911,1
133,1021,911,1
134,1021,911,1
135,1021,911,1
136,858,904,1
137,858,904,1
138,858,904,1
139,858,904,1
140,858,904,1
141,858,904,1
142,858,904,1
143,858,904,1
144,858,904,1
145,858,904,1
146,858,904,1
147,858,904,1
148,858,904,1
149,858,904,1
150,858,904,1
151,858,904,1
152,1174,566,1
153,1174,566,1
154,1174,567,1
155,1188,545,1
156,1193,539,1
157,1193,539,1
158,1193,539,1
159,1193,539,1
160,1193,539,1
161,1193,539,1
162,1193,539,1
163,1193,539,1
164,1193,539,1
165,1193,539,1
166,1193,539,1
167,1193,539,1
168,1193,539,1
169,1193,539,1
170,1193,539,1
171,1193,539,1
172,-1,-1,0
173,-1,-1,0
174,-1,-1,0
175,-1,-1,0
176,-1,-1,0
177,-1,-1,0
178,-1,-1,0
179,-1,-1,0
180,-1,-1,0
181,-1,-1,0
182,-1,-1,0
183,-1,-1,0
184,-1,-1,0
185,-1,-1,0
186,-1,-1,0
187,849,499,1
188,849,499,1
189,849,499,1
190,849,499,1
191,849,499,1
192,849,499,1
193,849,499,1
194,849,499,1
195,849,499,1
196,849,499,1
197,849,499,1
198,849,499,1
199,849,499,1
200,849,499,1
201,849,499,1
202,849,499,1
203,849,499,1
204,-1,-1,0
205,-1,-1,0
206,-1,-1,0
207,421,670,1
208,421,670,1
209,421,670,1
210,421,669,1
211,421,668,1
212,421,668,1
213,421,668,1
214,421,668,1
215,421,668,1
216,421,668,1
217,421,668,1
218,421,669,1
219,421,669,1
220,421,669,1
221,421,669,1
222,421,668,1
223,421,669,1
224,421,669,1
225,421,669,1
226,421,668,1
227,421,668,1
228,420,669,1
229,420,669,1
230,420,669,1
231,420,668,1
232,421,668,1
233,421,668,1
234,421,668,1
235,421,668,1
236,421,668,1
237,421,668,1
238,421,668,1
239,420,669,1
240,420,669,1
241,420,670,1
242,420,670,1
243,420,670,1
244,421,669,1
245,421,669,1
246,421,668,1
247,421,668,1
248,420,668,1
249,420,669,1
250,420,669,1
251,420,669,1
252,419,669,1
253,419,668,1
254,419,668,1
255,418,668,1
256,418,669,1
257,418,669,1
258,418,669,1
259,418,669,1
260,418,669,1
261,418,669,1
262,418,669,1
