epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.608,2.60724,3.93661,1.18412,0.55185,0.30769,0.31455,0.12082,2.52786,4.42778,0.91803,0.091045,4.5e-05,4.5e-05
2,47.5832,2.5005,3.02154,1.12206,0.53582,0.30769,0.38651,0.13255,2.66434,4.11254,0.92859,0.0810947,9.46865e-05,9.46865e-05
3,50.8101,2.49805,2.9366,1.12803,0.49375,0.45048,0.43968,0.14985,2.54476,2.34472,0.91861,0.071144,0.000144043,0.000144043
4,53.7517,2.38887,2.64013,1.12369,0.82029,0.38462,0.44251,0.13836,2.5048,1.93962,0.91614,0.0611931,0.00019307,0.00019307
5,56.7036,2.29487,2.67242,1.09733,0.6704,0.38462,0.44357,0.12961,2.53578,1.89327,0.92326,0.0512418,0.000241766,0.000241766
6,59.3935,2.29521,2.57102,1.11088,0.6293,0.34615,0.40849,0.11933,2.53091,1.94134,0.93548,0.0412901,0.000290132,0.000290132
7,61.9639,2.16622,2.63202,1.0161,0.51366,0.34615,0.3672,0.12912,2.5708,1.9643,0.94198,0.0313382,0.000338169,0.000338169
8,64.6532,2.21895,2.55045,1.06199,0.54376,0.34615,0.39403,0.11494,2.65305,1.98855,0.94811,0.0213859,0.000385875,0.000385875
9,67.2255,2.23621,2.36907,1.04624,0.47808,0.30769,0.31725,0.11252,2.66971,2.01161,0.95179,0.0114333,0.000433252,0.000433252
10,69.74,2.26725,2.5224,1.05563,0.51019,0.30769,0.31493,0.1133,2.64866,2.00635,0.95396,0.0014803,0.000480298,0.000480298
11,72.4868,2.23801,2.63185,1.03383,0.52071,0.30769,0.2965,0.11169,2.65629,1.9969,0.95363,0.0004835,0.0004835,0.0004835
12,75.4583,2.288,2.47184,1.08906,0.56328,0.30769,0.29696,0.10736,2.67892,1.97213,0.95045,0.00048185,0.00048185,0.00048185
13,78.1397,2.20426,2.36768,1.04308,0.57952,0.30769,0.29897,0.10822,2.67089,1.98179,0.95046,0.0004802,0.0004802,0.0004802
14,81.2564,2.30945,2.63301,1.0535,0.54471,0.26923,0.31476,0.11774,2.64168,1.99254,0.94895,0.00047855,0.00047855,0.00047855
15,84.4545,2.32661,2.62424,1.08346,0.54562,0.26923,0.31557,0.1238,2.63725,1.98436,0.94877,0.0004769,0.0004769,0.0004769
16,87.4187,2.24659,2.41848,1.03994,0.43936,0.30769,0.30418,0.13011,2.61781,1.95284,0.94447,0.00047525,0.00047525,0.00047525
17,89.9751,2.32128,2.52381,1.07972,0.45947,0.30769,0.30239,0.12475,2.5904,1.92683,0.93794,0.0004736,0.0004736,0.0004736
18,92.5385,2.15915,2.40214,1.01647,0.47265,0.30769,0.32881,0.12365,2.55519,1.90892,0.93328,0.00047195,0.00047195,0.00047195
19,95.1724,2.21816,2.4837,1.02273,0.43353,0.38462,0.41507,0.13724,2.54475,1.89217,0.93019,0.0004703,0.0004703,0.0004703
20,98.0225,2.33841,2.65206,1.05605,0.68149,0.41198,0.44527,0.14251,2.54945,1.90165,0.92851,0.00046865,0.00046865,0.00046865
21,100.604,2.32954,2.48667,1.0748,0.68338,0.42308,0.44632,0.13231,2.55648,1.8937,0.92766,0.000467,0.000467,0.000467
22,103.69,2.16912,2.33347,1.0388,0.68731,0.42272,0.44677,0.13859,2.56506,1.89934,0.93045,0.00046535,0.00046535,0.00046535
23,106.536,2.31991,2.33057,1.02795,0.6256,0.38462,0.44873,0.13682,2.58006,1.90457,0.93069,0.0004637,0.0004637,0.0004637
24,109.294,2.18912,2.55434,1.01319,0.63747,0.42308,0.46876,0.14174,2.59096,1.92279,0.93133,0.00046205,0.00046205,0.00046205
25,111.975,2.1856,2.48121,1.03261,0.61984,0.42308,0.45461,0.13705,2.61996,1.93255,0.9365,0.0004604,0.0004604,0.0004604
26,114.612,2.25613,2.52071,1.03567,0.622,0.42308,0.44743,0.12864,2.61756,1.98209,0.94203,0.00045875,0.00045875,0.00045875
27,117.368,2.26956,2.285,1.0465,0.72434,0.40491,0.46993,0.12848,2.65504,1.97447,0.9449,0.0004571,0.0004571,0.0004571
28,120.065,2.29862,2.38484,1.08146,0.68424,0.42308,0.43635,0.12131,2.69652,1.96544,0.95114,0.00045545,0.00045545,0.00045545
29,123.32,2.17363,2.26368,1.01636,0.7227,0.42308,0.45966,0.12426,2.69162,1.96119,0.9517,0.0004538,0.0004538,0.0004538
30,126.359,2.20958,2.26655,1.05588,0.7326,0.42308,0.46885,0.12176,2.66631,1.95158,0.9498,0.00045215,0.00045215,0.00045215
31,129.195,2.24737,2.40211,1.0277,0.66137,0.38462,0.40959,0.12251,2.64649,1.93121,0.94759,0.0004505,0.0004505,0.0004505
32,132.097,2.24145,2.20382,1.03464,0.59635,0.34123,0.37634,0.12661,2.57925,1.93479,0.93929,0.00044885,0.00044885,0.00044885
33,135.084,2.25049,2.22437,1.04671,0.60335,0.38462,0.40215,0.13856,2.55674,1.9508,0.9365,0.0004472,0.0004472,0.0004472
34,138.253,2.23616,2.28373,1.06079,0.61033,0.38462,0.4172,0.13975,2.54897,1.96156,0.9348,0.00044555,0.00044555,0.00044555
35,140.952,2.22964,2.22697,1.01222,0.62079,0.38462,0.427,0.14752,2.55354,1.97223,0.93432,0.0004439,0.0004439,0.0004439
36,143.438,2.13197,2.26645,1.02895,0.64864,0.35549,0.41865,0.1464,2.56905,1.97354,0.92976,0.00044225,0.00044225,0.00044225
37,146.04,2.24498,2.25275,1.01423,0.66793,0.34615,0.41617,0.14654,2.56114,1.98869,0.92846,0.0004406,0.0004406,0.0004406
38,148.585,2.30797,2.25016,1.05395,0.76511,0.37637,0.43144,0.15072,2.55978,2.03241,0.92752,0.00043895,0.00043895,0.00043895
39,151.443,2.18076,2.26665,1.02262,0.76345,0.37306,0.43554,0.15144,2.56049,2.07037,0.93033,0.0004373,0.0004373,0.0004373
40,154.035,2.31772,2.35286,1.04325,0.84345,0.41497,0.49074,0.16025,2.5588,2.09248,0.92799,0.00043565,0.00043565,0.00043565
41,156.534,2.25951,2.28606,1.07581,0.84478,0.41897,0.49164,0.16149,2.55296,2.12806,0.92607,0.000434,0.000434,0.000434
42,159.252,2.21715,2.24567,1.02058,0.84357,0.41533,0.49787,0.16682,2.5237,2.124,0.9242,0.00043235,0.00043235,0.00043235
43,161.818,2.25234,2.20833,1.03363,0.75846,0.36308,0.44388,0.15882,2.56656,2.14554,0.92715,0.0004307,0.0004307,0.0004307
44,164.42,2.15746,2.22206,1.03278,0.76312,0.37239,0.4389,0.15059,2.61649,2.1724,0.93257,0.00042905,0.00042905,0.00042905
45,166.982,2.22121,2.18813,1.0368,0.7615,0.36915,0.43902,0.14887,2.60857,2.14782,0.93559,0.0004274,0.0004274,0.0004274
46,169.638,2.19822,2.2569,0.96603,0.75759,0.36134,0.43992,0.15686,2.59547,2.10764,0.9351,0.00042575,0.00042575,0.00042575
47,172.477,2.25086,2.09735,1.02168,0.70489,0.36817,0.43767,0.15651,2.5715,2.07096,0.93313,0.0004241,0.0004241,0.0004241
48,175.807,2.16365,2.15446,1.00637,0.70865,0.38462,0.44125,0.15809,2.57248,2.03449,0.93349,0.00042245,0.00042245,0.00042245
49,178.773,2.2237,1.988,1.03707,0.6872,0.38462,0.44362,0.15881,2.57755,2.03748,0.93297,0.0004208,0.0004208,0.0004208
50,181.709,2.19336,2.20165,1.01224,0.76809,0.34615,0.44873,0.16175,2.55476,2.03384,0.93064,0.00041915,0.00041915,0.00041915
51,184.372,2.06323,2.05167,1.06385,0.76197,0.34615,0.44363,0.16106,2.56013,2.04811,0.93166,0.0004175,0.0004175,0.0004175
52,187.298,2.18526,2.09507,1.02518,0.7458,0.34615,0.44187,0.16379,2.58004,2.07693,0.9373,0.00041585,0.00041585,0.00041585
53,190.065,2.17981,2.01497,1.01594,0.75277,0.35168,0.4441,0.15985,2.63006,2.09078,0.94327,0.0004142,0.0004142,0.0004142
54,192.654,2.20509,2.12422,1.04546,0.75443,0.35501,0.43078,0.14521,2.60847,2.11827,0.94181,0.00041255,0.00041255,0.00041255
55,195.064,2.16708,2.22024,1.03266,0.74379,0.38462,0.42518,0.14364,2.61263,2.14215,0.94131,0.0004109,0.0004109,0.0004109
56,197.704,2.23336,2.19828,0.99521,0.69824,0.38462,0.4243,0.14824,2.61908,2.19588,0.94576,0.00040925,0.00040925,0.00040925
57,200.253,2.19117,2.04752,1.01399,0.70064,0.38462,0.4195,0.14267,2.63977,2.22972,0.95015,0.0004076,0.0004076,0.0004076
58,202.779,2.18547,2.03036,1.03085,0.681,0.38462,0.41875,0.14981,2.61099,2.21912,0.946,0.00040595,0.00040595,0.00040595
59,205.351,2.14158,2.09691,1.05062,0.68277,0.38462,0.41527,0.14952,2.59969,2.20295,0.94556,0.0004043,0.0004043,0.0004043
60,207.841,2.34633,2.1464,1.05265,0.67422,0.38462,0.43035,0.14968,2.56493,2.1988,0.9417,0.00040265,0.00040265,0.00040265
61,210.438,2.20359,1.96569,1.04942,0.66044,0.38462,0.42864,0.14848,2.58421,2.18296,0.94178,0.000401,0.000401,0.000401
62,213.404,2.08017,2.08359,1.05995,0.6416,0.38462,0.40706,0.14886,2.56434,2.17356,0.9401,0.00039935,0.00039935,0.00039935
63,216.485,2.11212,1.91114,1.03643,0.63426,0.38462,0.40687,0.15111,2.57559,2.20356,0.94175,0.0003977,0.0003977,0.0003977
64,219.52,2.01319,1.85274,0.99505,0.61804,0.38462,0.39764,0.15697,2.5434,2.21011,0.93999,0.00039605,0.00039605,0.00039605
65,222.949,2.1292,1.94269,1.01547,0.61243,0.38462,0.39382,0.15232,2.55348,2.18893,0.94017,0.0003944,0.0003944,0.0003944
66,225.916,2.09618,1.95328,1.00034,0.60877,0.38462,0.40742,0.15083,2.52005,2.18282,0.93396,0.00039275,0.00039275,0.00039275
67,228.782,2.17968,2.02842,1.02927,0.61027,0.38462,0.41628,0.15093,2.53686,2.17882,0.935,0.0003911,0.0003911,0.0003911
68,232.163,2.10694,1.85893,0.98205,0.61928,0.38462,0.42487,0.15258,2.53943,2.19201,0.93285,0.00038945,0.00038945,0.00038945
69,234.927,2.17268,1.96922,1.01444,0.62033,0.38462,0.43251,0.15782,2.52984,2.19917,0.93126,0.0003878,0.0003878,0.0003878
70,237.474,2.07624,1.87632,1.0084,0.61871,0.38462,0.43034,0.16236,2.52275,2.21734,0.93283,0.00038615,0.00038615,0.00038615
71,239.956,2.11404,2.09953,1.00904,0.61811,0.38462,0.43123,0.16169,2.53838,2.24688,0.93402,0.0003845,0.0003845,0.0003845
72,242.556,2.15126,1.94746,1.00427,0.61576,0.38462,0.43145,0.16571,2.5569,2.27717,0.93986,0.00038285,0.00038285,0.00038285
73,245.109,2.15574,2.00371,1.00775,0.70536,0.42308,0.47976,0.17038,2.56777,2.2815,0.94142,0.0003812,0.0003812,0.0003812
74,247.855,2.20802,1.90707,1.0641,0.67866,0.42308,0.48477,0.16705,2.60857,2.21577,0.94315,0.00037955,0.00037955,0.00037955
75,250.702,2.24063,1.92545,1.00554,0.67179,0.42308,0.48171,0.16289,2.60531,2.15554,0.94308,0.0003779,0.0003779,0.0003779
